S.no,Module_name,Test case ID,Test Case Title,Test Steps,Expected Results,Actual Results,Test Data,"Status
",Date,Comments
101,Release 8.1.2 Test Cases>Client Change Status,,"Change status a single ticket-spam to deleted,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Ticket
4. Change the Status of the Ticket from Spam to Deleted",Ticket Status Should Change with proper alert,,,,,
102,Release 8.1.2 Test Cases>Client Change Status,,"Change status of multiple tickets- Open to close,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Multiple Tickets from Open to Close",Ticket Status Should Change with proper alert,,,,,
103,Release 8.1.2 Test Cases>Client Change Status,,"Change status of multiple tickets- Open to spam,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Multiple Tickets from Open to Spam",Ticket Status Should Change with proper alert,,,,,
104,Release 8.1.2 Test Cases>Client Change Status,,"Change status of multiple tickets- Open to deleted,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Multiple Tickets from Open to Deleted",Ticket Status Should Change with proper alert,,,,,
105,Release 8.1.2 Test Cases>Client Change Status,,"Change status of multiple tickets- Deleted to close,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Multiple Tickets from Deleted to Close",Ticket Status Should Change with proper alert,,,,,
106,Release 8.1.2 Test Cases>Client Change Status,,"Change status of multiple tickets- Deleted to spam,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Mutiple Tickets from Deleted to Spam",Ticket Status Should Change with proper alert,,,,,
107,Release 8.1.2 Test Cases>Client Change Status,,"Change status of multiple tickets- deleted to open,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Mutiple Tickets from Deleted to Open",It should Throw the Alert Message Permission Denied you do not have the Permission to access the Request Page,,,,,
108,Release 8.1.2 Test Cases>Client Change Status,,"Change status of multiple tickets- Close to open,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Mutiple Tickets from Close to Open",It should Throw the Alert Message Permission Denied you do not have the Permission to access the Request Page,,,,,
109,Release 8.1.2 Test Cases>Client Change Status,,"Change status of multiple tickets- Close to spam,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Mutiple Tickets from Close to Open",Ticket Status Should Change with proper alert,,,,,
110,Release 8.1.2 Test Cases>Client Change Status,,"Change status of multiple tickets- close to deleted,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Mutiple Tickets from Close to Spam",Ticket Status Should Change with proper alert,,,,,
111,Release 8.1.2 Test Cases>Client Change Status,,"Change status multiple tickets-spam to open,as Organization Manager","1. Login as Client
2. Go to Inbox
3. Click on View Tickets
4 Change the Status of Mutiple Tickets from Spam to Open",Ticket Status Should Change with proper alert,,,,,
112,Release 8.1.2 Test Cases>Client Change Status,,"Change status multiple tickets-spam to close ,as Organization Manager","1. Login as Client
2. Go to Inbox 
3. Click on View Ticket
4. Change the Status of Multiple Tickets from Spam to Close",Ticket Status Should Change with proper alert,,,,,
113,Release 8.1.2 Test Cases>Client Change Status,,"Change status multiple tickets-spam to deleted,as Organization Manager","1. Login as Client
2. Go to Inbox 
3. Click on View Ticket
4. Change the Status of the Multiple Tickets from Spam to Deleted",Ticket Status Should Change with proper alert,,,,,
114,Release 8.1.2 Test Cases>Client Change Status,,"Check for Change Ticket Status for Single Tickets and Multiple Tickets ,as Organization Manager","1. Login as Client
2. Go to Homepage , View My Tickets 
3. Check the Ticket IDs to Change the Status using Inspect . 
4. Use the change status api in postman and Check for Return Message ",Ticket Status Should Change with proper alert,,"API : public/v3/ticket/change-status/ticket_id/status_id

Payload not needed

",,,
